question,subject,choices,answer,qa
Wie kann murtis übersetzt werden?,world_religions,"['Opfergaben', 'Gebete', 'Erscheinungen', 'Götzenbilder']",3,"Frage: Wie kann murtis übersetzt werden?

Antwortoptionen: ['Opfergaben', 'Gebete', 'Erscheinungen', 'Götzenbilder']

Antwort: Götzenbilder"
"Mit welchem der folgenden Begriffe werden Naturforscher in Verbindung gebracht, die sich auf natürliche Elemente und Prozesse konzentrierten?",world_religions,"['Taoismus', 'Yin-Yang-Schule', 'Mengzi', 'Humanistischer Buddhismus']",1,"Frage: Mit welchem der folgenden Begriffe werden Naturforscher in Verbindung gebracht, die sich auf natürliche Elemente und Prozesse konzentrierten?

Antwortoptionen: ['Taoismus', 'Yin-Yang-Schule', 'Mengzi', 'Humanistischer Buddhismus']

Antwort: Yin-Yang-Schule"
Wann wurde der erste buddhistische Tempel in Japan errichtet?,world_religions,"['325 n. Chr.', '119 n. Chr.', '451 n. Chr.', '596 n. Chr.']",3,"Frage: Wann wurde der erste buddhistische Tempel in Japan errichtet?

Antwortoptionen: ['325 n. Chr.', '119 n. Chr.', '451 n. Chr.', '596 n. Chr.']

Antwort: 596 n. Chr."
"Wie hieß das zehntägige Neujahrsfest, das die babylonische Kultur feierte?",world_religions,"['Das ist Akitu .', 'Wag und Thoth', 'Das ist Bast .', 'Nehebkau']",0,"Frage: Wie hieß das zehntägige Neujahrsfest, das die babylonische Kultur feierte?

Antwortoptionen: ['Das ist Akitu .', 'Wag und Thoth', 'Das ist Bast .', 'Nehebkau']

Antwort: Das ist Akitu ."
Welcher der folgenden Begriffe bezeichnet die japanische Kunst des Blumenarrangements?,world_religions,"['Zazen', 'Das ist Tariki.', 'Das ist Kami.', 'Ikebana']",3,"Frage: Welcher der folgenden Begriffe bezeichnet die japanische Kunst des Blumenarrangements?

Antwortoptionen: ['Zazen', 'Das ist Tariki.', 'Das ist Kami.', 'Ikebana']

Antwort: Ikebana"
"Guru Nanak und seine Nachfolger wies die Verwendung bestimmter Sikh-Ragas an, um welche der folgenden zu fördern?",world_religions,"['Harmonie und Gleichgewicht', 'Hingabe und Frömmigkeit', 'Liebe und Leidenschaft', 'Wohlwollen und Liebe']",0,"Frage: Guru Nanak und seine Nachfolger wies die Verwendung bestimmter Sikh-Ragas an, um welche der folgenden zu fördern?

Antwortoptionen: ['Harmonie und Gleichgewicht', 'Hingabe und Frömmigkeit', 'Liebe und Leidenschaft', 'Wohlwollen und Liebe']

Antwort: Harmonie und Gleichgewicht"
"Mit welchem Begriff bezeichnete Guru Nanak das ""göttliche Wort"" als Teil der göttlichen Offenbarung?",world_religions,"['Shabad', 'Halse', 'Südafrika', 'Ich bin Guru.']",0,"Frage: Mit welchem Begriff bezeichnete Guru Nanak das ""göttliche Wort"" als Teil der göttlichen Offenbarung?

Antwortoptionen: ['Shabad', 'Halse', 'Südafrika', 'Ich bin Guru.']

Antwort: Shabad"
Was ist die Mi'raj?,world_religions,"['Mohammeds wundersame Himmelfahrt', 'Mohammeds Wanderung nach Mekka', 'Mohammeds erste Gemeinde in Mekka', 'Mohammeds Offenbarungen des Qur'an']",0,"Frage: Was ist die Mi'raj?

Antwortoptionen: ['Mohammeds wundersame Himmelfahrt', 'Mohammeds Wanderung nach Mekka', 'Mohammeds erste Gemeinde in Mekka', 'Mohammeds Offenbarungen des Qur'an']

Antwort: Mohammeds wundersame Himmelfahrt"
"Wie heißt der berühmteste Dharmaschastra, der vermutlich aus der Zeit um das erste Jahrhundert stammt?",world_religions,"['Gesetze des Dharma', 'Die Gesetze des Karma', 'Gesetze von Vishnu', 'Gesetze von Manu']",3,"Frage: Wie heißt der berühmteste Dharmaschastra, der vermutlich aus der Zeit um das erste Jahrhundert stammt?

Antwortoptionen: ['Gesetze des Dharma', 'Die Gesetze des Karma', 'Gesetze von Vishnu', 'Gesetze von Manu']

Antwort: Gesetze von Manu"
"Was bedeutet der Begriff ""Koran"" wörtlich?",world_religions,"['Das Heilige Buch', 'Die Erzählung', 'Die Rezitation', 'Die Säulen']",2,"Frage: Was bedeutet der Begriff ""Koran"" wörtlich?

Antwortoptionen: ['Das Heilige Buch', 'Die Erzählung', 'Die Rezitation', 'Die Säulen']

Antwort: Die Rezitation"
