question,subject,choices,answer,qa
"Welche Aussage erklärt am besten den Zweck von Harts Unterscheidung zwischen ""verpflichtet sein"" und ""eine Verpflichtung haben""?",jurisprudence,"['Es zeigt den Unterschied zwischen dem inneren und dem äußeren Aspekt einer Regel.', 'Es widerlegt die Ansicht des natürlichen Rechtsanwalts über die Rolle der Moral im Recht.', 'Es erklärt die Natur der Regeln der Machtübertragung.', 'Es beleuchtet das Konzept einer Regel.']",3,"Frage: Welche Aussage erklärt am besten den Zweck von Harts Unterscheidung zwischen ""verpflichtet sein"" und ""eine Verpflichtung haben""?

Antwortoptionen: ['Es zeigt den Unterschied zwischen dem inneren und dem äußeren Aspekt einer Regel.', 'Es widerlegt die Ansicht des natürlichen Rechtsanwalts über die Rolle der Moral im Recht.', 'Es erklärt die Natur der Regeln der Machtübertragung.', 'Es beleuchtet das Konzept einer Regel.']

Antwort: Es beleuchtet das Konzept einer Regel."
"Der berühmte Maine-Aphorismus, daß ""die Bewegung der fortschrittlichen Gesellschaften bisher eine Bewegung vom Status zum Vertrag gewesen ist"", wird oft missverstanden.",jurisprudence,"['Es wird fälschlicherweise als Vorhersage interpretiert.', 'Sein Status wird falsch dargestellt.', 'Es wird wörtlich genommen.', 'Seine Idee gilt als nicht anwendbar auf westliche Rechtssysteme.']",0,"Frage: Der berühmte Maine-Aphorismus, daß ""die Bewegung der fortschrittlichen Gesellschaften bisher eine Bewegung vom Status zum Vertrag gewesen ist"", wird oft missverstanden.

Antwortoptionen: ['Es wird fälschlicherweise als Vorhersage interpretiert.', 'Sein Status wird falsch dargestellt.', 'Es wird wörtlich genommen.', 'Seine Idee gilt als nicht anwendbar auf westliche Rechtssysteme.']

Antwort: Es wird fälschlicherweise als Vorhersage interpretiert."
Welche der folgenden Faktoren trugen wesentlich zur Wiederbelebung des Naturgesetzes im 20. Jahrhundert bei?,jurisprudence,"['Die Depression der 1930er Jahre', 'Der Aufstieg des Faschismus', 'Die internationale Anerkennung der Menschenrechte nach dem Zweiten Weltkrieg', 'Die bolschewistische Revolution']",2,"Frage: Welche der folgenden Faktoren trugen wesentlich zur Wiederbelebung des Naturgesetzes im 20. Jahrhundert bei?

Antwortoptionen: ['Die Depression der 1930er Jahre', 'Der Aufstieg des Faschismus', 'Die internationale Anerkennung der Menschenrechte nach dem Zweiten Weltkrieg', 'Die bolschewistische Revolution']

Antwort: Die internationale Anerkennung der Menschenrechte nach dem Zweiten Weltkrieg"
Welche der folgenden Kritikpunkte an Llewellyns Unterscheidung zwischen großartigen und formalen Formen der rechtlichen Argumentation ist die überzeugendste?,jurisprudence,"['Es gibt keinen Unterschied zwischen den beiden Formen der rechtlichen Argumentation.', 'Richter werden ernannt, um das Gesetz auszulegen, nicht um es zu machen.', 'Der Präsident. - Das Wort hat die Fraktion der Europäischen Volkspartei (Christlich-Demokratische Fraktion).', 'Die juristische Argumentation ist immer formell.']",2,"Frage: Welche der folgenden Kritikpunkte an Llewellyns Unterscheidung zwischen großartigen und formalen Formen der rechtlichen Argumentation ist die überzeugendste?

Antwortoptionen: ['Es gibt keinen Unterschied zwischen den beiden Formen der rechtlichen Argumentation.', 'Richter werden ernannt, um das Gesetz auszulegen, nicht um es zu machen.', 'Der Präsident. - Das Wort hat die Fraktion der Europäischen Volkspartei (Christlich-Demokratische Fraktion).', 'Die juristische Argumentation ist immer formell.']

Antwort: Der Präsident. - Das Wort hat die Fraktion der Europäischen Volkspartei (Christlich-Demokratische Fraktion)."
"Welcher der folgenden Sätze entspricht am besten dem, was Rawls behauptet, das POP in Bezug auf ""soziale Primärgüter"" wählen würde?",jurisprudence,"['Die POP wird den Reichtum einer mitfühlenden Gesellschaft vorziehen.', 'Die POP wird die Gleichheit der Macht vorziehen.', 'Der POP wird selbstlos sein.', 'Die POP beschließt, die Behinderten zu schützen.']",0,"Frage: Welcher der folgenden Sätze entspricht am besten dem, was Rawls behauptet, das POP in Bezug auf ""soziale Primärgüter"" wählen würde?

Antwortoptionen: ['Die POP wird den Reichtum einer mitfühlenden Gesellschaft vorziehen.', 'Die POP wird die Gleichheit der Macht vorziehen.', 'Der POP wird selbstlos sein.', 'Die POP beschließt, die Behinderten zu schützen.']

Antwort: Die POP wird den Reichtum einer mitfühlenden Gesellschaft vorziehen."
"Die ________-Schule ist der Ansicht, dass die Förderung der Effizienz des Marktes das zentrale Ziel der rechtlichen Entscheidungsfindung sein sollte.",jurisprudence,"['Recht und Wirtschaft', 'Kritische Rechtswissenschaften', 'Historische', 'Naturgesetze']",0,"Frage: Die ________-Schule ist der Ansicht, dass die Förderung der Effizienz des Marktes das zentrale Ziel der rechtlichen Entscheidungsfindung sein sollte.

Antwortoptionen: ['Recht und Wirtschaft', 'Kritische Rechtswissenschaften', 'Historische', 'Naturgesetze']

Antwort: Recht und Wirtschaft"
"Welche Aussage folgt am wenigsten logisch aus Austins Argument, dass eine Sanktion aus der geringsten Wahrscheinlichkeit besteht, das geringste Übel zu verursachen?",jurisprudence,"['Alle Befehle beinhalten eine Sanktion.', 'Das Konzept eines Befehls beinhaltet die Wahrscheinlichkeit, dass eine Sanktion folgen wird, wenn der Befehl nicht befolgt wird.', 'Ohne eine Sanktion ist der bloße Ausdruck eines Wunsches kein Befehl.', 'Ein Befehl verleiht die Macht, den gesetzlichen Status zu ändern.']",3,"Frage: Welche Aussage folgt am wenigsten logisch aus Austins Argument, dass eine Sanktion aus der geringsten Wahrscheinlichkeit besteht, das geringste Übel zu verursachen?

Antwortoptionen: ['Alle Befehle beinhalten eine Sanktion.', 'Das Konzept eines Befehls beinhaltet die Wahrscheinlichkeit, dass eine Sanktion folgen wird, wenn der Befehl nicht befolgt wird.', 'Ohne eine Sanktion ist der bloße Ausdruck eines Wunsches kein Befehl.', 'Ein Befehl verleiht die Macht, den gesetzlichen Status zu ändern.']

Antwort: Ein Befehl verleiht die Macht, den gesetzlichen Status zu ändern."
"Wie löst Weber das ""England-Problem""?",jurisprudence,"['Indem wir seine Existenz leugnen.', 'Indem er den Unterschied zwischen dem Common Law und dem Civil Law erläutert.', 'Durch die Unterscheidung bestimmter Merkmale des englischen Rechtssystems, die die Entwicklung des Kapitalismus erleichterten.', 'Indem sie die Wichtigkeit der rechtmäßigen Herrschaft anerkennen.']",2,"Frage: Wie löst Weber das ""England-Problem""?

Antwortoptionen: ['Indem wir seine Existenz leugnen.', 'Indem er den Unterschied zwischen dem Common Law und dem Civil Law erläutert.', 'Durch die Unterscheidung bestimmter Merkmale des englischen Rechtssystems, die die Entwicklung des Kapitalismus erleichterten.', 'Indem sie die Wichtigkeit der rechtmäßigen Herrschaft anerkennen.']

Antwort: Durch die Unterscheidung bestimmter Merkmale des englischen Rechtssystems, die die Entwicklung des Kapitalismus erleichterten."
"Ciceros Konzeption des Naturrechts basiert auf der Idee, dass ""wahres Gesetz die rechte Vernunft im Einklang mit der Natur ist"". Die Vernunft ist ein Schlüsselelement, weil:",jurisprudence,"['Es ist eine Sünde, wenn Menschen keine Vernunft anwenden.', 'Die Prinzipien des Naturgesetzes können durch die Vernunft entdeckt werden.', 'Naturgesetze gelten nicht ohne guten Grund.', 'Das Naturgesetz ist die Grundlage aller positiven Gesetze.']",1,"Frage: Ciceros Konzeption des Naturrechts basiert auf der Idee, dass ""wahres Gesetz die rechte Vernunft im Einklang mit der Natur ist"". Die Vernunft ist ein Schlüsselelement, weil:

Antwortoptionen: ['Es ist eine Sünde, wenn Menschen keine Vernunft anwenden.', 'Die Prinzipien des Naturgesetzes können durch die Vernunft entdeckt werden.', 'Naturgesetze gelten nicht ohne guten Grund.', 'Das Naturgesetz ist die Grundlage aller positiven Gesetze.']

Antwort: Die Prinzipien des Naturgesetzes können durch die Vernunft entdeckt werden."
"Catharine MacKinnon argumentiert, dass, da Männer Frauen dominieren, die Frage letztlich eine der Macht ist.",jurisprudence,"['Frauen können durch politischen Druck Gleichberechtigung erreichen.', 'Gleichheit ist unmöglich, weil Männer Frauen als anders definieren.', 'Der Begriff 'Frau' muss neu definiert werden.', 'Die Welt ist phallozentrisch und unterdrückerisch.']",0,"Frage: Catharine MacKinnon argumentiert, dass, da Männer Frauen dominieren, die Frage letztlich eine der Macht ist.

Antwortoptionen: ['Frauen können durch politischen Druck Gleichberechtigung erreichen.', 'Gleichheit ist unmöglich, weil Männer Frauen als anders definieren.', 'Der Begriff 'Frau' muss neu definiert werden.', 'Die Welt ist phallozentrisch und unterdrückerisch.']

Antwort: Frauen können durch politischen Druck Gleichberechtigung erreichen."
