good_percent,seed,group,jaccard,intersection,union,total_isolated_run1,total_isolated_run2,num_tensors,num_elements_compared
0.0001,42,layers.0,0.20194647201946472,498,2466,1761,1203,7,60817408
0.0001,42,layers.1,0.1803666469544648,305,1691,1104,892,7,60817408
0.0001,42,layers.2,0.2046058458813109,462,2258,1776,944,7,60817408
0.0001,42,layers.3,0.20660749506903353,419,2028,1361,1086,7,60817408
0.0001,42,layers.4,0.25572370974000774,659,2577,1786,1450,7,60817408
0.0001,42,layers.5,0.212443716741711,519,2443,1662,1300,7,60817408
0.0001,42,layers.6,0.2844495765973826,739,2598,1830,1507,7,60817408
0.0001,42,layers.7,0.2453684643886373,596,2429,1593,1432,7,60817408
0.0001,42,layers.8,0.2833962264150943,751,2650,2067,1334,7,60817408
0.0001,42,layers.9,0.24189926211100418,754,3117,2266,1605,7,60817408
0.0001,42,layers.10,0.24882786336235768,743,2986,2050,1679,7,60817408
0.0001,42,layers.11,0.19809069212410502,498,2514,1626,1386,7,60817408
0.0001,42,layers.12,0.14786351060559483,481,3253,1935,1799,7,60817408
0.0001,42,layers.13,0.07663316582914573,183,2388,1506,1065,7,60817408
0.0001,42,layers.14,0.10022779043280182,264,2634,1573,1325,7,60817408
0.0001,42,layers.15,0.13740808823529413,299,2176,1529,946,7,60817408
0.001,42,layers.0,0.18620470726951158,4106,22051,13920,12237,7,60817408
0.001,42,layers.1,0.3074685158616292,7715,25092,18757,14050,7,60817408
0.001,42,layers.2,0.258841474229364,7297,28191,19999,15489,7,60817408
0.001,42,layers.3,0.22826086956521738,6804,29808,18252,18360,7,60817408
0.001,42,layers.4,0.2756385949188183,7996,29009,19726,17279,7,60817408
0.001,42,layers.5,0.2656802708151078,6985,26291,18017,15259,7,60817408
0.001,42,layers.6,0.2647922026160368,7308,27599,19144,15763,7,60817408
0.001,42,layers.7,0.25512104283054005,6987,27387,18843,15531,7,60817408
0.001,42,layers.8,0.27923694779116465,6953,24900,18821,13032,7,60817408
0.001,42,layers.9,0.3237672294608069,7728,23869,18544,13053,7,60817408
0.001,42,layers.10,0.26412708448589267,6684,25306,17724,14266,7,60817408
0.001,42,layers.11,0.20489448891271878,5350,26111,18713,12748,7,60817408
0.001,42,layers.12,0.1956464725937582,5222,26691,16989,14924,7,60817408
0.001,42,layers.13,0.11174099269337365,2661,23814,12691,13784,7,60817408
0.001,42,layers.14,0.15712169312169313,3712,23625,14391,12946,7,60817408
0.001,42,layers.15,0.0962327642810243,2345,24368,13986,12727,7,60817408
0.01,42,layers.0,0.17548995264916384,40286,229563,146740,123109,7,60817408
0.01,42,layers.1,0.21423289263118356,54753,255577,180085,130245,7,60817408
0.01,42,layers.2,0.244580926199413,65748,268819,188328,146239,7,60817408
0.01,42,layers.3,0.2477157839223774,57775,233231,172232,118774,7,60817408
0.01,42,layers.4,0.2634964849449529,63568,241248,181355,123461,7,60817408
0.01,42,layers.5,0.2670024378273568,66372,248582,171720,143234,7,60817408
0.01,42,layers.6,0.25215822542206223,60521,240012,153442,147091,7,60817408
0.01,42,layers.7,0.2647666345355123,59604,225119,154766,129957,7,60817408
0.01,42,layers.8,0.28254344912442597,64297,227565,160168,131694,7,60817408
0.01,42,layers.9,0.2725512268126162,63194,231861,152251,142804,7,60817408
0.01,42,layers.10,0.21721955812476734,49601,228345,143588,134358,7,60817408
0.01,42,layers.11,0.23926130372498855,56954,238041,160492,134503,7,60817408
0.01,42,layers.12,0.2142801767578882,52516,245081,162236,135361,7,60817408
0.01,42,layers.13,0.17547526492358487,39543,225348,145749,119142,7,60817408
0.01,42,layers.14,0.19234362468160865,43647,226922,132530,138039,7,60817408
0.01,42,layers.15,0.14018884830105452,28476,203126,117612,113990,7,60817408
0.025,42,layers.0,0.14511848937611263,78420,540386,274320,344486,7,60817408
0.025,42,layers.1,0.1771573682132854,103667,585169,381715,307121,7,60817408
0.025,42,layers.2,0.1926735623096744,105283,546432,361938,289777,7,60817408
0.025,42,layers.3,0.20726790032170397,128663,620757,413577,335843,7,60817408
0.025,42,layers.4,0.2254381499527307,142600,632546,419648,355498,7,60817408
0.025,42,layers.5,0.25328648278444754,150150,592807,407608,335349,7,60817408
0.025,42,layers.6,0.2687964817840311,148402,552098,383840,316660,7,60817408
0.025,42,layers.7,0.29287709325360206,142818,487638,343240,287216,7,60817408
0.025,42,layers.8,0.23469485584556032,122399,521524,301272,342651,7,60817408
0.025,42,layers.9,0.23276648004477343,117700,505657,298179,325178,7,60817408
0.025,42,layers.10,0.20605920578738804,106131,515051,344706,276476,7,60817408
0.025,42,layers.11,0.22980924997667573,135476,589515,384533,340458,7,60817408
0.025,42,layers.12,0.1918235054142695,119432,622614,376308,365738,7,60817408
0.025,42,layers.13,0.14399045671908345,83528,580094,332041,331581,7,60817408
0.025,42,layers.14,0.18541508074917967,99620,537281,340846,296055,7,60817408
0.025,42,layers.15,0.13460105686485083,66303,492589,319036,239856,7,60817408
0.05,42,layers.0,0.14232042047887872,102354,719180,415268,406266,7,60817408
0.05,42,layers.1,0.1637613325688264,157655,962712,515382,604985,7,60817408
0.05,42,layers.2,0.17637349539377004,175350,994197,622861,546686,7,60817408
0.05,42,layers.3,0.19263541763243755,174530,906012,511612,568930,7,60817408
0.05,42,layers.4,0.22559214481760084,210498,933091,557245,586344,7,60817408
0.05,42,layers.5,0.2655864819568492,250379,942740,609257,583862,7,60817408
0.05,42,layers.6,0.270890645409224,257993,952388,630910,579471,7,60817408
0.05,42,layers.7,0.2633806635227505,245795,933231,656829,522197,7,60817408
0.05,42,layers.8,0.25752461430013823,234907,912173,663092,483988,7,60817408
0.05,42,layers.9,0.25285939047841033,216966,858050,619077,455939,7,60817408
0.05,42,layers.10,0.18758740576892005,168340,897395,505156,560579,7,60817408
0.05,42,layers.11,0.20955540061983735,197169,940892,531568,606493,7,60817408
0.05,42,layers.12,0.19581158947317487,190201,971347,577621,583927,7,60817408
0.05,42,layers.13,0.15162189327015368,147383,972043,495371,624055,7,60817408
0.05,42,layers.14,0.162914393185787,164755,1011298,553358,622695,7,60817408
0.05,42,layers.15,0.13205607289654392,118809,899686,543934,474561,7,60817408
0.075,42,layers.0,0.14269906739580113,149079,1044709,682890,510898,7,60817408
0.075,42,layers.1,0.15842587329067587,195921,1236673,693423,739171,7,60817408
0.075,42,layers.2,0.1741101302606129,227922,1309068,828002,708988,7,60817408
0.075,42,layers.3,0.17344020625717468,232221,1338911,729001,842131,7,60817408
0.075,42,layers.4,0.20196431295773995,252847,1251939,667486,837300,7,60817408
0.075,42,layers.5,0.2214679561682745,291924,1318132,762811,847245,7,60817408
0.075,42,layers.6,0.22532999027632378,302412,1342085,766597,877900,7,60817408
0.075,42,layers.7,0.21709801762114536,304361,1401952,858734,847579,7,60817408
0.075,42,layers.8,0.24466052749613765,309281,1264123,817000,756404,7,60817408
0.075,42,layers.9,0.22984811948193382,283662,1234128,863657,654133,7,60817408
0.075,42,layers.10,0.20478498221272354,239931,1171624,838183,573372,7,60817408
0.075,42,layers.11,0.2222065005428267,259119,1166118,808347,616890,7,60817408
0.075,42,layers.12,0.18857143320549866,232528,1233103,772919,692712,7,60817408
0.075,42,layers.13,0.1581782796403288,191729,1212107,711537,692299,7,60817408
0.075,42,layers.14,0.1611590734382602,209018,1296967,687084,818901,7,60817408
0.075,42,layers.15,0.1258410990698228,161790,1285669,662775,784684,7,60817408
0.1,42,layers.0,0.13167464905755585,181617,1379286,1029136,531767,7,60817408
0.1,42,layers.1,0.1627252503032778,215561,1324693,734894,805360,7,60817408
0.1,42,layers.2,0.2041192531707095,273391,1339369,794925,817835,7,60817408
0.1,42,layers.3,0.18499209718394943,268260,1450116,965370,753006,7,60817408
0.1,42,layers.4,0.21597133749024847,307849,1425416,947977,785288,7,60817408
0.1,42,layers.5,0.2260904989722577,352970,1561189,999307,914852,7,60817408
0.1,42,layers.6,0.22209803687195862,360470,1623022,981460,1002032,7,60817408
0.1,42,layers.7,0.20868750229005867,324642,1555637,918655,961624,7,60817408
0.1,42,layers.8,0.20057313443981417,343799,1714083,993762,1064120,7,60817408
0.1,42,layers.9,0.22112568477386654,349720,1581544,985175,946089,7,60817408
0.1,42,layers.10,0.18202099496990057,278056,1527604,1044563,761097,7,60817408
0.1,42,layers.11,0.21305371425856692,322891,1515538,1105969,732460,7,60817408
0.1,42,layers.12,0.18448003249343603,279785,1516614,1002914,793485,7,60817408
0.1,42,layers.13,0.15687241580561104,229008,1459836,947558,741286,7,60817408
0.1,42,layers.14,0.16811081750552148,247988,1475146,844045,879089,7,60817408
0.1,42,layers.15,0.11746251936061111,187473,1596024,771374,1012123,7,60817408
0.125,42,layers.0,0.13449662854911784,227010,1687849,1297167,617692,7,60817408
0.125,42,layers.1,0.1696129744660921,248070,1462565,926958,783677,7,60817408
0.125,42,layers.2,0.18613137103424007,300446,1614161,916473,998134,7,60817408
0.125,42,layers.3,0.2022206216381349,303501,1500841,1051208,753134,7,60817408
0.125,42,layers.4,0.22731519110057874,348198,1531785,1110917,769066,7,60817408
0.125,42,layers.5,0.2657777192705774,407829,1534474,1088564,853739,7,60817408
0.125,42,layers.6,0.2892811534635751,440594,1523065,1047834,915825,7,60817408
0.125,42,layers.7,0.26172128750964924,427874,1634846,926017,1136703,7,60817408
0.125,42,layers.8,0.20691494855213913,362629,1752551,966525,1148655,7,60817408
0.125,42,layers.9,0.19740593683010021,373875,1893940,1127313,1140502,7,60817408
0.125,42,layers.10,0.18639407788893297,326023,1749106,1084534,990595,7,60817408
0.125,42,layers.11,0.21135600972751192,373368,1766536,1213243,926661,7,60817408
0.125,42,layers.12,0.17850793131280632,321790,1802665,1251516,872939,7,60817408
0.125,42,layers.13,0.1430333425861185,259186,1812067,1172117,899136,7,60817408
0.125,42,layers.14,0.17413511262685447,281441,1616222,1030352,867311,7,60817408
0.125,42,layers.15,0.1185538427414883,198834,1677162,867001,1008995,7,60817408
0.15,42,layers.0,0.12323436848424874,210706,1709799,1151098,769407,7,60817408
0.15,42,layers.1,0.1592371047862355,274752,1725427,1187043,813136,7,60817408
0.15,42,layers.2,0.17314908220780958,309126,1785317,1049355,1045088,7,60817408
0.15,42,layers.3,0.20880404572463454,342656,1641041,1043863,939834,7,60817408
0.15,42,layers.4,0.23282222628256366,391190,1680209,1169986,901413,7,60817408
0.15,42,layers.5,0.2734721622105829,467091,1708002,1094055,1081038,7,60817408
0.15,42,layers.6,0.28302477900320644,492355,1739618,1098987,1132986,7,60817408
0.15,42,layers.7,0.28050420878491567,484426,1726983,1059554,1151855,7,60817408
0.15,42,layers.8,0.2347299808001643,416038,1772411,980928,1207521,7,60817408
0.15,42,layers.9,0.19367294664876045,377982,1951651,1101306,1228327,7,60817408
0.15,42,layers.10,0.1675241080049967,354446,2115791,1245271,1224966,7,60817408
0.15,42,layers.11,0.20795249362187399,426705,2051935,1324726,1153914,7,60817408
0.15,42,layers.12,0.171025514650753,359497,2102008,1442862,1018643,7,60817408
0.15,42,layers.13,0.13236643011975627,283277,2140097,1390714,1032660,7,60817408
