good_percent,seed,group,jaccard,intersection,union,total_isolated_run1,total_isolated_run2,num_tensors,num_elements_compared
0.0001,1,layers.0,0.19568151147098514,580,2964,1876,1668,7,60817408
0.0001,1,layers.1,0.2757056451612903,547,1984,1385,1146,7,60817408
0.0001,1,layers.10,0.2988568317909635,1098,3674,2477,2295,7,60817408
0.0001,1,layers.11,0.24377970366228682,872,3577,2412,2037,7,60817408
0.0001,1,layers.12,0.1611730489578284,665,4126,3045,1746,7,60817408
0.0001,1,layers.13,0.08118187033849684,283,3486,2399,1370,7,60817408
0.0001,1,layers.14,0.0531183932346723,201,3784,2547,1438,7,60817408
0.0001,1,layers.15,0.09027046013347383,257,2847,1468,1636,7,60817408
0.0001,1,layers.2,0.27644814429413805,797,2883,1982,1698,7,60817408
0.0001,1,layers.3,0.42343062774890045,1059,2501,2007,1553,7,60817408
0.0001,1,layers.4,0.4551839464882943,1361,2990,2328,2023,7,60817408
0.0001,1,layers.5,0.32729289940828404,885,2704,1916,1673,7,60817408
0.0001,1,layers.6,0.3773952582007145,1162,3079,2337,1904,7,60817408
0.0001,1,layers.7,0.28182734296271417,839,2977,2074,1742,7,60817408
0.0001,1,layers.8,0.2916554869868527,1087,3727,2533,2281,7,60817408
0.0001,1,layers.9,0.29784437434279704,1133,3804,2660,2277,7,60817408
0.001,1,layers.0,0.15546958654277918,4501,28951,19699,13753,7,60817408
0.001,1,layers.1,0.2526062305675791,8287,32806,22808,18285,7,60817408
0.001,1,layers.10,0.2691101301115242,9266,34432,24747,18951,7,60817408
0.001,1,layers.11,0.26454528829323093,10126,38277,28326,20077,7,60817408
0.001,1,layers.12,0.1901772347515333,7876,41414,29899,19391,7,60817408
0.001,1,layers.13,0.07201800450112528,2592,35991,25311,13272,7,60817408
0.001,1,layers.14,0.09627533228887654,3810,39574,27703,15681,7,60817408
0.001,1,layers.15,0.19188945837373597,5541,28876,20162,14255,7,60817408
0.001,1,layers.2,0.28635753439982103,10239,35756,25815,20180,7,60817408
0.001,1,layers.3,0.36787363932943573,11389,30959,23350,18998,7,60817408
0.001,1,layers.4,0.4259856574703285,13603,31933,24761,20775,7,60817408
0.001,1,layers.5,0.37462544041621393,11377,30369,22270,19476,7,60817408
0.001,1,layers.6,0.31305453868585964,10091,32234,22275,20050,7,60817408
0.001,1,layers.7,0.2635183513370482,8465,32123,20816,19772,7,60817408
0.001,1,layers.8,0.30181627051334464,10336,34246,24898,19684,7,60817408
0.001,1,layers.9,0.32636165577342047,11235,34425,25679,19981,7,60817408
0.01,1,layers.0,0.1977536625876079,53102,268526,188855,132773,7,60817408
0.01,1,layers.1,0.2143229964675734,63646,296963,201168,159441,7,60817408
0.01,1,layers.10,0.2483624661298035,65445,263506,183641,145310,7,60817408
0.01,1,layers.11,0.2992554980889136,85576,285963,207546,163993,7,60817408
0.01,1,layers.12,0.22961984536082475,71274,310400,218008,163666,7,60817408
0.01,1,layers.13,0.12918433658470352,40911,316687,212391,145207,7,60817408
0.01,1,layers.14,0.1573943478033746,48208,306288,222315,132181,7,60817408
0.01,1,layers.15,0.13049890779214568,32738,250868,167343,116263,7,60817408
