question,subject,choices,answer,qa
सीमांत राजस्व उस बिंदु पर सीमांत लागत के बराबर होता है जहां,high_school_microeconomics,"['कुल राजस्व इसकी सबसे बड़ी दूरी पर कुल लागत से अधिक है', 'कुल आय कुल लागत के बराबर है', 'सीमांत उत्पाद अपने उच्चतम बिंदु पर है', 'कुल उत्पाद अपने उच्चतम बिंदु पर है']",0,"प्रश्न: सीमांत राजस्व उस बिंदु पर सीमांत लागत के बराबर होता है जहां

उत्तर विकल्प: ['कुल राजस्व इसकी सबसे बड़ी दूरी पर कुल लागत से अधिक है', 'कुल आय कुल लागत के बराबर है', 'सीमांत उत्पाद अपने उच्चतम बिंदु पर है', 'कुल उत्पाद अपने उच्चतम बिंदु पर है']

उत्तर: कुल राजस्व इसकी सबसे बड़ी दूरी पर कुल लागत से अधिक है"
"श्रम की कीमत $ 2 है, और पूंजी की कीमत $ 1 है। श्रम का सीमांत उत्पाद 200 है, और पूंजी का सीमांत उत्पाद 50 है। फर्म को क्या करना चाहिए?",high_school_microeconomics,"['पूंजी को बढ़ाएं और श्रम को कम करें ताकि पूंजी का सीमांत उत्पाद गिर जाए और श्रम का सीमांत उत्पाद बढ़ जाए।', 'पूंजी बढ़ाएं और श्रम घटाएं ताकि पूंजी का सीमांत उत्पाद बढ़े और श्रम का सीमांत उत्पाद गिर जाए।', 'पूंजी को कम करें और श्रम को बढ़ाएं ताकि पूंजी का सीमांत उत्पाद बढ़े और श्रम का सीमांत उत्पाद गिर जाए।', 'पूंजी को कम करें और श्रम को बढ़ाएं ताकि पूंजी का सीमांत उत्पाद गिर जाए और श्रम का सीमांत उत्पाद बढ़ जाए।']",2,"प्रश्न: श्रम की कीमत $ 2 है, और पूंजी की कीमत $ 1 है। श्रम का सीमांत उत्पाद 200 है, और पूंजी का सीमांत उत्पाद 50 है। फर्म को क्या करना चाहिए?

उत्तर विकल्प: ['पूंजी को बढ़ाएं और श्रम को कम करें ताकि पूंजी का सीमांत उत्पाद गिर जाए और श्रम का सीमांत उत्पाद बढ़ जाए।', 'पूंजी बढ़ाएं और श्रम घटाएं ताकि पूंजी का सीमांत उत्पाद बढ़े और श्रम का सीमांत उत्पाद गिर जाए।', 'पूंजी को कम करें और श्रम को बढ़ाएं ताकि पूंजी का सीमांत उत्पाद बढ़े और श्रम का सीमांत उत्पाद गिर जाए।', 'पूंजी को कम करें और श्रम को बढ़ाएं ताकि पूंजी का सीमांत उत्पाद गिर जाए और श्रम का सीमांत उत्पाद बढ़ जाए।']

उत्तर: पूंजी को कम करें और श्रम को बढ़ाएं ताकि पूंजी का सीमांत उत्पाद बढ़े और श्रम का सीमांत उत्पाद गिर जाए।"
"एक नैश संतुलन में,",high_school_microeconomics,"['आपूर्ति वक्र मांग वक्र को काटता है', 'किसी भी पक्ष को अपनी रणनीति से विचलित होने के लिए कोई प्रोत्साहन नहीं है', 'सीमांत राजस्व वक्र सीमांत लागत वक्र को काटता है', 'संतुलन अस्थिर है और प्रत्येक पक्ष रणनीतियों को बदलना चाहता है']",1,"प्रश्न: एक नैश संतुलन में,

उत्तर विकल्प: ['आपूर्ति वक्र मांग वक्र को काटता है', 'किसी भी पक्ष को अपनी रणनीति से विचलित होने के लिए कोई प्रोत्साहन नहीं है', 'सीमांत राजस्व वक्र सीमांत लागत वक्र को काटता है', 'संतुलन अस्थिर है और प्रत्येक पक्ष रणनीतियों को बदलना चाहता है']

उत्तर: किसी भी पक्ष को अपनी रणनीति से विचलित होने के लिए कोई प्रोत्साहन नहीं है"
आपको बताया जाता है कि माल एक्स और वाई के बीच क्रॉस-कीमत लोच +2.0 है। इसका मतलब है कि,high_school_microeconomics,"['माल X और Y सामान्य माल हैं।', 'वस्तु X और वस्तु Y हीन वस्तुएं हैं।', 'माल X और Y पूरक माल हैं।', 'माल X और Y प्रतिस्थापन माल हैं।']",3,"प्रश्न: आपको बताया जाता है कि माल एक्स और वाई के बीच क्रॉस-कीमत लोच +2.0 है। इसका मतलब है कि

उत्तर विकल्प: ['माल X और Y सामान्य माल हैं।', 'वस्तु X और वस्तु Y हीन वस्तुएं हैं।', 'माल X और Y पूरक माल हैं।', 'माल X और Y प्रतिस्थापन माल हैं।']

उत्तर: माल X और Y प्रतिस्थापन माल हैं।"
एक बाह्य प्रभाव,high_school_microeconomics,"['संतुलन मूल्य को कृत्रिम रूप से उच्च बनाता है', 'संतुलन मूल्य को कृत्रिम रूप से कम करने का कारण बनता है', 'मौजूद है जब बाजार संतुलन तक नहीं पहुंच सकते हैं', 'एक संतुलन में परिणाम है कि समाज के लिए कुल लाभ को अधिकतम नहीं करता है']",3,"प्रश्न: एक बाह्य प्रभाव

उत्तर विकल्प: ['संतुलन मूल्य को कृत्रिम रूप से उच्च बनाता है', 'संतुलन मूल्य को कृत्रिम रूप से कम करने का कारण बनता है', 'मौजूद है जब बाजार संतुलन तक नहीं पहुंच सकते हैं', 'एक संतुलन में परिणाम है कि समाज के लिए कुल लाभ को अधिकतम नहीं करता है']

उत्तर: एक संतुलन में परिणाम है कि समाज के लिए कुल लाभ को अधिकतम नहीं करता है"
एक कारण क्या है कि सरकार एक ही उद्योग में बड़ी फर्मों के बीच मिलीभगत को हतोत्साहित करती है?,high_school_microeconomics,"['सामंजस्यपूर्ण उत्पादन के स्तर में वृद्धि होती है, जिससे कीमत प्रतिस्पर्धी स्तर से ऊपर हो जाती है।', 'जैसे-जैसे कीमत नीचे जाती है, उपभोक्ता अधिशेष घटता जाता है।', 'सामंजस्यपूर्ण उत्पादन के स्तर में कमी आती है, जिससे कीमत प्रतिस्पर्धी स्तर तक गिर जाती है।', 'संयुक्त लाभ अधिकतम करने से समाज को उपभोक्ता अधिशेष की लागत आती है क्योंकि कीमत प्रतिस्पर्धी स्तरों से ऊपर उठती है।']",3,"प्रश्न: एक कारण क्या है कि सरकार एक ही उद्योग में बड़ी फर्मों के बीच मिलीभगत को हतोत्साहित करती है?

उत्तर विकल्प: ['सामंजस्यपूर्ण उत्पादन के स्तर में वृद्धि होती है, जिससे कीमत प्रतिस्पर्धी स्तर से ऊपर हो जाती है।', 'जैसे-जैसे कीमत नीचे जाती है, उपभोक्ता अधिशेष घटता जाता है।', 'सामंजस्यपूर्ण उत्पादन के स्तर में कमी आती है, जिससे कीमत प्रतिस्पर्धी स्तर तक गिर जाती है।', 'संयुक्त लाभ अधिकतम करने से समाज को उपभोक्ता अधिशेष की लागत आती है क्योंकि कीमत प्रतिस्पर्धी स्तरों से ऊपर उठती है।']

उत्तर: संयुक्त लाभ अधिकतम करने से समाज को उपभोक्ता अधिशेष की लागत आती है क्योंकि कीमत प्रतिस्पर्धी स्तरों से ऊपर उठती है।"
निम्नलिखित में से कौन सा ओलिगोपोलिस्ट का सामना करने वाले मांग वक्र को दर्शाता है जब प्रतिद्वंद्वी फर्म मूल्य में कमी का पालन करते हैं लेकिन मूल्य वृद्धि नहीं करते हैं?,high_school_microeconomics,"['पूरी तरह से क्षैतिज मांग वक्र।', 'अत्यधिक अस्थिर मांग वक्र।', 'अत्यधिक लोचदार मांग वक्र।', 'एक मांग वक्र जिसमें दो अविरल खंड होते हैं।']",3,"प्रश्न: निम्नलिखित में से कौन सा ओलिगोपोलिस्ट का सामना करने वाले मांग वक्र को दर्शाता है जब प्रतिद्वंद्वी फर्म मूल्य में कमी का पालन करते हैं लेकिन मूल्य वृद्धि नहीं करते हैं?

उत्तर विकल्प: ['पूरी तरह से क्षैतिज मांग वक्र।', 'अत्यधिक अस्थिर मांग वक्र।', 'अत्यधिक लोचदार मांग वक्र।', 'एक मांग वक्र जिसमें दो अविरल खंड होते हैं।']

उत्तर: एक मांग वक्र जिसमें दो अविरल खंड होते हैं।"
निम्न में से कौन-सा वेतन अंतर का आधार नहीं है?,high_school_microeconomics,"['उच्च जोखिम वाली नौकरी।', 'मानव पूंजी में निवेश।', 'एसयूवी के उत्पादन में वृद्धि।', 'नस्लीय भेदभाव।']",2,"प्रश्न: निम्न में से कौन-सा वेतन अंतर का आधार नहीं है?

उत्तर विकल्प: ['उच्च जोखिम वाली नौकरी।', 'मानव पूंजी में निवेश।', 'एसयूवी के उत्पादन में वृद्धि।', 'नस्लीय भेदभाव।']

उत्तर: एसयूवी के उत्पादन में वृद्धि।"
"पेटेंट, संसाधनों का नियंत्रण, पैमाने की अर्थव्यवस्था, और अनन्य लाइसेंस",high_school_microeconomics,"['मूल्य भेदभाव के लिए सभी आवश्यकताएं', 'एक फर्म के लिए अल्पकालिक लाभ कमाने के लिए आवश्यक', 'लोचदार मांग के सभी स्रोत', 'प्रवेश के लिए सभी बाधाएं']",3,"प्रश्न: पेटेंट, संसाधनों का नियंत्रण, पैमाने की अर्थव्यवस्था, और अनन्य लाइसेंस

उत्तर विकल्प: ['मूल्य भेदभाव के लिए सभी आवश्यकताएं', 'एक फर्म के लिए अल्पकालिक लाभ कमाने के लिए आवश्यक', 'लोचदार मांग के सभी स्रोत', 'प्रवेश के लिए सभी बाधाएं']

उत्तर: प्रवेश के लिए सभी बाधाएं"
"उद्योग जो प्लास्टिक सेना के आंकड़े बनाता है सभी उद्देश्यों के लिए मांग की गई प्लास्टिक के एक छोटे से अंश का उपयोग करता है इस आधार पर, हम निष्कर्ष निकाल सकते हैं कि सेना-आंकड़े उद्योग सबसे अधिक संभावना है",high_school_microeconomics,"['बढ़ती लागत वाला उद्योग', 'स्थिर लागत उद्योग', 'घटती लागत वाला उद्योग', 'लाभकारी उद्योग']",1,"प्रश्न: उद्योग जो प्लास्टिक सेना के आंकड़े बनाता है सभी उद्देश्यों के लिए मांग की गई प्लास्टिक के एक छोटे से अंश का उपयोग करता है इस आधार पर, हम निष्कर्ष निकाल सकते हैं कि सेना-आंकड़े उद्योग सबसे अधिक संभावना है

उत्तर विकल्प: ['बढ़ती लागत वाला उद्योग', 'स्थिर लागत उद्योग', 'घटती लागत वाला उद्योग', 'लाभकारी उद्योग']

उत्तर: स्थिर लागत उद्योग"
