question,subject,choices,answer,qa
L'étude des personnes âgées et du vieillissement est appelée,human_aging,"['Gérontologie', 'Géropsychiatrie', 'Santé des personnes âgées', 'L'éducation des personnes âgées']",0,"Question: L'étude des personnes âgées et du vieillissement est appelée

Choix: ['Gérontologie', 'Géropsychiatrie', 'Santé des personnes âgées', 'L'éducation des personnes âgées']

Réponse: Gérontologie"
Lequel des facteurs suivants est associé à une diminution du risque de maladie d'Alzheimer?,human_aging,"['Être afro-américain ou hispanique', 'Manger du poisson', 'Un niveau d'éducation inférieur', 'Être marié']",1,"Question: Lequel des facteurs suivants est associé à une diminution du risque de maladie d'Alzheimer?

Choix: ['Être afro-américain ou hispanique', 'Manger du poisson', 'Un niveau d'éducation inférieur', 'Être marié']

Réponse: Manger du poisson"
L'hypothèse de la docilité est que,human_aging,"['Ceux qui ont de faibles capacités sont plus vulnérables aux exigences environnementales', 'Ceux qui font face à des exigences environnementales élevées deviennent plus dociles.', 'Ceux qui font face à des exigences environnementales élevées deviennent moins dociles.', 'Ceux qui ont moins de capacités sont moins vulnérables aux exigences environnementales']",0,"Question: L'hypothèse de la docilité est que

Choix: ['Ceux qui ont de faibles capacités sont plus vulnérables aux exigences environnementales', 'Ceux qui font face à des exigences environnementales élevées deviennent plus dociles.', 'Ceux qui font face à des exigences environnementales élevées deviennent moins dociles.', 'Ceux qui ont moins de capacités sont moins vulnérables aux exigences environnementales']

Réponse: Ceux qui ont de faibles capacités sont plus vulnérables aux exigences environnementales"
La mémoire normale semble être améliorée par,human_aging,"['Exercice aérobie', 'Utilisation de l'acétylcholine', 'Prendre du gingko', 'Renforcement des contacts sociaux']",0,"Question: La mémoire normale semble être améliorée par

Choix: ['Exercice aérobie', 'Utilisation de l'acétylcholine', 'Prendre du gingko', 'Renforcement des contacts sociaux']

Réponse: Exercice aérobie"
La perspective selon laquelle le développement est ancré dans l'histoire signifie que,human_aging,"['Le changement peut toujours se produire indépendamment de l'âge.', 'Les conditions socioculturelles doivent toujours être prises en considération', 'Le développement dans un domaine particulier (par exemple, social) est lié au développement dans d'autres domaines (par exemple, cognitif)', 'Certaines caractéristiques changent avec l'âge tandis que d'autres ne le font pas.']",1,"Question: La perspective selon laquelle le développement est ancré dans l'histoire signifie que

Choix: ['Le changement peut toujours se produire indépendamment de l'âge.', 'Les conditions socioculturelles doivent toujours être prises en considération', 'Le développement dans un domaine particulier (par exemple, social) est lié au développement dans d'autres domaines (par exemple, cognitif)', 'Certaines caractéristiques changent avec l'âge tandis que d'autres ne le font pas.']

Réponse: Les conditions socioculturelles doivent toujours être prises en considération"
"La réponse ""les deux jouent un rôle important"" s'applique clairement à la question suivante:",human_aging,"['La nature contre l'éducation', 'Le mécanisme contre l'organisme', 'Continuité ou discontinuité', 'Toutes ces questions']",3,"Question: La réponse ""les deux jouent un rôle important"" s'applique clairement à la question suivante:

Choix: ['La nature contre l'éducation', 'Le mécanisme contre l'organisme', 'Continuité ou discontinuité', 'Toutes ces questions']

Réponse: Toutes ces questions"
Lequel des éléments suivants n'apparaît PAS habituellement dans la lentille de l'œil à mesure que l'on vieillit?,human_aging,"['Il devient plus épais.', 'Il est jaune .', 'Il devient nuageux', 'Il se remplit de liquide .']",3,"Question: Lequel des éléments suivants n'apparaît PAS habituellement dans la lentille de l'œil à mesure que l'on vieillit?

Choix: ['Il devient plus épais.', 'Il est jaune .', 'Il devient nuageux', 'Il se remplit de liquide .']

Réponse: Il se remplit de liquide ."
Les maisons du futur peuvent vous permettre de faire fonctionner pratiquement tout dans la maison à partir d'un terminal central; une telle maison est déjà en production et est appelée,human_aging,"['Technohouse', 'Maison de comptoir', 'La maison du futur', 'Maison éclairée']",3,"Question: Les maisons du futur peuvent vous permettre de faire fonctionner pratiquement tout dans la maison à partir d'un terminal central; une telle maison est déjà en production et est appelée

Choix: ['Technohouse', 'Maison de comptoir', 'La maison du futur', 'Maison éclairée']

Réponse: Maison éclairée"
La différence de temps de réaction entre les adultes plus jeunes et les adultes plus âgés est réduite lorsque les adultes plus âgés,human_aging,"['Faites régulièrement de l'exercice aérobie.', 'Soulever des poids selon un horaire régulier', 'Consommer de grandes quantités de vitamines', 'Pratiquez le Tai Chi']",0,"Question: La différence de temps de réaction entre les adultes plus jeunes et les adultes plus âgés est réduite lorsque les adultes plus âgés

Choix: ['Faites régulièrement de l'exercice aérobie.', 'Soulever des poids selon un horaire régulier', 'Consommer de grandes quantités de vitamines', 'Pratiquez le Tai Chi']

Réponse: Faites régulièrement de l'exercice aérobie."
Une différence majeure entre les théories programmées et non programmées de la sénescence est que les théories programmées,human_aging,"['Attribuer la sénescence uniquement à des facteurs environnementaux', 'Sont beaucoup trop difficiles à tester', 'L'affirmation selon laquelle la sénescence suit un plan prédéterminé', 'Faire trop confiance aux modèles informatiques']",2,"Question: Une différence majeure entre les théories programmées et non programmées de la sénescence est que les théories programmées

Choix: ['Attribuer la sénescence uniquement à des facteurs environnementaux', 'Sont beaucoup trop difficiles à tester', 'L'affirmation selon laquelle la sénescence suit un plan prédéterminé', 'Faire trop confiance aux modèles informatiques']

Réponse: L'affirmation selon laquelle la sénescence suit un plan prédéterminé"
